Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/albertville-1992/results/alpine-skiing
Biathlon,biathlon,https://olympics.com/en/olympic-games/albertville-1992/results/biathlon
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/albertville-1992/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/albertville-1992/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/albertville-1992/results/figure-skating
Freestyle Skiing,freestyle-skiing,https://olympics.com/en/olympic-games/albertville-1992/results/freestyle-skiing
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/albertville-1992/results/ice-hockey
Luge,luge,https://olympics.com/en/olympic-games/albertville-1992/results/luge
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/albertville-1992/results/nordic-combined
Short Track Speed Skating,short-track-speed-skating,https://olympics.com/en/olympic-games/albertville-1992/results/short-track-speed-skating
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/albertville-1992/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/albertville-1992/results/speed-skating
