Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/antwerp-1920/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/antwerp-1920/results/athletics
Boxing,boxing,https://olympics.com/en/olympic-games/antwerp-1920/results/boxing
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/antwerp-1920/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/antwerp-1920/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/antwerp-1920/results/diving
Equestrian  Vaulting,equestrian-vaulting,https://olympics.com/en/olympic-games/antwerp-1920/results/equestrian-vaulting
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/antwerp-1920/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/antwerp-1920/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/antwerp-1920/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/antwerp-1920/results/fencing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/antwerp-1920/results/figure-skating
Football,football,https://olympics.com/en/olympic-games/antwerp-1920/results/football
Hockey,hockey,https://olympics.com/en/olympic-games/antwerp-1920/results/hockey
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/antwerp-1920/results/ice-hockey
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/antwerp-1920/results/modern-pentathlon
Polo,polo,https://olympics.com/en/olympic-games/antwerp-1920/results/polo
Rowing,rowing,https://olympics.com/en/olympic-games/antwerp-1920/results/rowing
Rugby,rugby,https://olympics.com/en/olympic-games/antwerp-1920/results/rugby
Sailing,sailing,https://olympics.com/en/olympic-games/antwerp-1920/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/antwerp-1920/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/antwerp-1920/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/antwerp-1920/results/tennis
Tug of War,tug-of-war,https://olympics.com/en/olympic-games/antwerp-1920/results/tug-of-war
Water Polo,water-polo,https://olympics.com/en/olympic-games/antwerp-1920/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/antwerp-1920/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/antwerp-1920/results/wrestling
