Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/barcelona-1992/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/barcelona-1992/results/athletics
Badminton,badminton,https://olympics.com/en/olympic-games/barcelona-1992/results/badminton
Baseball,baseball,https://olympics.com/en/olympic-games/barcelona-1992/results/baseball
Basketball,basketball,https://olympics.com/en/olympic-games/barcelona-1992/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/barcelona-1992/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/barcelona-1992/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/barcelona-1992/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/barcelona-1992/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/barcelona-1992/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/barcelona-1992/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/barcelona-1992/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/barcelona-1992/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/barcelona-1992/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/barcelona-1992/results/fencing
Football,football,https://olympics.com/en/olympic-games/barcelona-1992/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/barcelona-1992/results/gymnastics-artistic
Gymnastics Rhythmic,gymnastics-rhythmic,https://olympics.com/en/olympic-games/barcelona-1992/results/gymnastics-rhythmic
Handball,handball,https://olympics.com/en/olympic-games/barcelona-1992/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/barcelona-1992/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/barcelona-1992/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/barcelona-1992/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/barcelona-1992/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/barcelona-1992/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/barcelona-1992/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/barcelona-1992/results/swimming
Synchronized Swimming,synchronized-swimming,https://olympics.com/en/olympic-games/barcelona-1992/results/synchronized-swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/barcelona-1992/results/table-tennis
Tennis,tennis,https://olympics.com/en/olympic-games/barcelona-1992/results/tennis
Volleyball,volleyball,https://olympics.com/en/olympic-games/barcelona-1992/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/barcelona-1992/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/barcelona-1992/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/barcelona-1992/results/wrestling
