Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/berlin-1936/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/berlin-1936/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/berlin-1936/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/berlin-1936/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/berlin-1936/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/berlin-1936/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/berlin-1936/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/berlin-1936/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/berlin-1936/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/berlin-1936/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/berlin-1936/results/fencing
Football,football,https://olympics.com/en/olympic-games/berlin-1936/results/football
Handball,handball,https://olympics.com/en/olympic-games/berlin-1936/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/berlin-1936/results/hockey
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/berlin-1936/results/modern-pentathlon
Polo,polo,https://olympics.com/en/olympic-games/berlin-1936/results/polo
Rowing,rowing,https://olympics.com/en/olympic-games/berlin-1936/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/berlin-1936/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/berlin-1936/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/berlin-1936/results/swimming
Water Polo,water-polo,https://olympics.com/en/olympic-games/berlin-1936/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/berlin-1936/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/berlin-1936/results/wrestling
