Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/los-angeles-1932/results/athletics
Boxing,boxing,https://olympics.com/en/olympic-games/los-angeles-1932/results/boxing
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/los-angeles-1932/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/los-angeles-1932/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/los-angeles-1932/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/los-angeles-1932/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/los-angeles-1932/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/los-angeles-1932/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/los-angeles-1932/results/fencing
Hockey,hockey,https://olympics.com/en/olympic-games/los-angeles-1932/results/hockey
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/los-angeles-1932/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/los-angeles-1932/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/los-angeles-1932/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/los-angeles-1932/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/los-angeles-1932/results/swimming
Water Polo,water-polo,https://olympics.com/en/olympic-games/los-angeles-1932/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/los-angeles-1932/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/los-angeles-1932/results/wrestling
