Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/melbourne-1956/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/melbourne-1956/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/melbourne-1956/results/boxing
Canoe Marathon,canoe-marathon,https://olympics.com/en/olympic-games/melbourne-1956/results/canoe-marathon
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/melbourne-1956/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/melbourne-1956/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/melbourne-1956/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/melbourne-1956/results/diving
Fencing,fencing,https://olympics.com/en/olympic-games/melbourne-1956/results/fencing
Football,football,https://olympics.com/en/olympic-games/melbourne-1956/results/football
Hockey,hockey,https://olympics.com/en/olympic-games/melbourne-1956/results/hockey
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/melbourne-1956/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/melbourne-1956/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/melbourne-1956/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/melbourne-1956/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/melbourne-1956/results/swimming
Water Polo,water-polo,https://olympics.com/en/olympic-games/melbourne-1956/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/melbourne-1956/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/melbourne-1956/results/wrestling
