Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/montreal-1976/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/montreal-1976/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/montreal-1976/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/montreal-1976/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/montreal-1976/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/montreal-1976/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/montreal-1976/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/montreal-1976/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/montreal-1976/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/montreal-1976/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/montreal-1976/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/montreal-1976/results/fencing
Football,football,https://olympics.com/en/olympic-games/montreal-1976/results/football
Handball,handball,https://olympics.com/en/olympic-games/montreal-1976/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/montreal-1976/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/montreal-1976/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/montreal-1976/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/montreal-1976/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/montreal-1976/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/montreal-1976/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/montreal-1976/results/swimming
Volleyball,volleyball,https://olympics.com/en/olympic-games/montreal-1976/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/montreal-1976/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/montreal-1976/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/montreal-1976/results/wrestling
