Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/munich-1972/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/munich-1972/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/munich-1972/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/munich-1972/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/munich-1972/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/munich-1972/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/munich-1972/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/munich-1972/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/munich-1972/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/munich-1972/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/munich-1972/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/munich-1972/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/munich-1972/results/fencing
Football,football,https://olympics.com/en/olympic-games/munich-1972/results/football
Handball,handball,https://olympics.com/en/olympic-games/munich-1972/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/munich-1972/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/munich-1972/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/munich-1972/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/munich-1972/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/munich-1972/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/munich-1972/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/munich-1972/results/swimming
Volleyball,volleyball,https://olympics.com/en/olympic-games/munich-1972/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/munich-1972/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/munich-1972/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/munich-1972/results/wrestling
