Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/paris-1924/results/athletics
Boxing,boxing,https://olympics.com/en/olympic-games/paris-1924/results/boxing
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/paris-1924/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/paris-1924/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/paris-1924/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/paris-1924/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/paris-1924/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/paris-1924/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/paris-1924/results/fencing
Football,football,https://olympics.com/en/olympic-games/paris-1924/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/paris-1924/results/gymnastics-artistic
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/paris-1924/results/modern-pentathlon
Polo,polo,https://olympics.com/en/olympic-games/paris-1924/results/polo
Rowing,rowing,https://olympics.com/en/olympic-games/paris-1924/results/rowing
Rugby,rugby,https://olympics.com/en/olympic-games/paris-1924/results/rugby
Sailing,sailing,https://olympics.com/en/olympic-games/paris-1924/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/paris-1924/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/paris-1924/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/paris-1924/results/tennis
Water Polo,water-polo,https://olympics.com/en/olympic-games/paris-1924/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/paris-1924/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/paris-1924/results/wrestling
