Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/pyeongchang-2018/results/alpine-skiing
Biathlon,biathlon,https://olympics.com/en/olympic-games/pyeongchang-2018/results/biathlon
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/pyeongchang-2018/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/pyeongchang-2018/results/cross-country-skiing
Curling,curling,https://olympics.com/en/olympic-games/pyeongchang-2018/results/curling
Figure skating,figure-skating,https://olympics.com/en/olympic-games/pyeongchang-2018/results/figure-skating
Freestyle Skiing,freestyle-skiing,https://olympics.com/en/olympic-games/pyeongchang-2018/results/freestyle-skiing
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/pyeongchang-2018/results/ice-hockey
Luge,luge,https://olympics.com/en/olympic-games/pyeongchang-2018/results/luge
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/pyeongchang-2018/results/nordic-combined
Short Track,short-track,https://olympics.com/en/olympic-games/pyeongchang-2018/results/short-track
Skeleton,skeleton,https://olympics.com/en/olympic-games/pyeongchang-2018/results/skeleton
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/pyeongchang-2018/results/ski-jumping
Snowboard,snowboard,https://olympics.com/en/olympic-games/pyeongchang-2018/results/snowboard
Speed skating,speed-skating,https://olympics.com/en/olympic-games/pyeongchang-2018/results/speed-skating
