Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/rio-2016/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/rio-2016/results/athletics
Badminton,badminton,https://olympics.com/en/olympic-games/rio-2016/results/badminton
Basketball,basketball,https://olympics.com/en/olympic-games/rio-2016/results/basketball
Beach Volleyball,beach-volleyball,https://olympics.com/en/olympic-games/rio-2016/results/beach-volleyball
Boxing,boxing,https://olympics.com/en/olympic-games/rio-2016/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/rio-2016/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/rio-2016/results/canoe-sprint
Cycling BMX,cycling-bmx,https://olympics.com/en/olympic-games/rio-2016/results/cycling-bmx
Cycling Mountain Bike,cycling-mountain-bike,https://olympics.com/en/olympic-games/rio-2016/results/cycling-mountain-bike
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/rio-2016/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/rio-2016/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/rio-2016/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/rio-2016/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/rio-2016/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/rio-2016/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/rio-2016/results/fencing
Football,football,https://olympics.com/en/olympic-games/rio-2016/results/football
Golf,golf,https://olympics.com/en/olympic-games/rio-2016/results/golf
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/rio-2016/results/gymnastics-artistic
Gymnastics Rhythmic,gymnastics-rhythmic,https://olympics.com/en/olympic-games/rio-2016/results/gymnastics-rhythmic
Handball,handball,https://olympics.com/en/olympic-games/rio-2016/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/rio-2016/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/rio-2016/results/judo
Marathon Swimming,marathon-swimming,https://olympics.com/en/olympic-games/rio-2016/results/marathon-swimming
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/rio-2016/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/rio-2016/results/rowing
Rugby,rugby,https://olympics.com/en/olympic-games/rio-2016/results/rugby
Sailing,sailing,https://olympics.com/en/olympic-games/rio-2016/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/rio-2016/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/rio-2016/results/swimming
Synchronized Swimming,synchronized-swimming,https://olympics.com/en/olympic-games/rio-2016/results/synchronized-swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/rio-2016/results/table-tennis
Taekwondo,taekwondo,https://olympics.com/en/olympic-games/rio-2016/results/taekwondo
Tennis,tennis,https://olympics.com/en/olympic-games/rio-2016/results/tennis
Trampoline,trampoline,https://olympics.com/en/olympic-games/rio-2016/results/trampoline
Triathlon,triathlon,https://olympics.com/en/olympic-games/rio-2016/results/triathlon
Volleyball,volleyball,https://olympics.com/en/olympic-games/rio-2016/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/rio-2016/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/rio-2016/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/rio-2016/results/wrestling
