Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/rome-1960/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/rome-1960/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/rome-1960/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/rome-1960/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/rome-1960/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/rome-1960/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/rome-1960/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/rome-1960/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/rome-1960/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/rome-1960/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/rome-1960/results/fencing
Football,football,https://olympics.com/en/olympic-games/rome-1960/results/football
Hockey,hockey,https://olympics.com/en/olympic-games/rome-1960/results/hockey
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/rome-1960/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/rome-1960/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/rome-1960/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/rome-1960/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/rome-1960/results/swimming
Water Polo,water-polo,https://olympics.com/en/olympic-games/rome-1960/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/rome-1960/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/rome-1960/results/wrestling
