Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/seoul-1988/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/seoul-1988/results/athletics
Basketball,basketball,https://olympics.com/en/olympic-games/seoul-1988/results/basketball
Boxing,boxing,https://olympics.com/en/olympic-games/seoul-1988/results/boxing
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/seoul-1988/results/canoe-sprint
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/seoul-1988/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/seoul-1988/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/seoul-1988/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/seoul-1988/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/seoul-1988/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/seoul-1988/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/seoul-1988/results/fencing
Football,football,https://olympics.com/en/olympic-games/seoul-1988/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/seoul-1988/results/gymnastics-artistic
Gymnastics Rhythmic,gymnastics-rhythmic,https://olympics.com/en/olympic-games/seoul-1988/results/gymnastics-rhythmic
Handball,handball,https://olympics.com/en/olympic-games/seoul-1988/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/seoul-1988/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/seoul-1988/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/seoul-1988/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/seoul-1988/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/seoul-1988/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/seoul-1988/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/seoul-1988/results/swimming
Synchronized Swimming,synchronized-swimming,https://olympics.com/en/olympic-games/seoul-1988/results/synchronized-swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/seoul-1988/results/table-tennis
Tennis,tennis,https://olympics.com/en/olympic-games/seoul-1988/results/tennis
Volleyball,volleyball,https://olympics.com/en/olympic-games/seoul-1988/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/seoul-1988/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/seoul-1988/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/seoul-1988/results/wrestling
