Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/st-louis-1904/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/st-louis-1904/results/athletics
Boxing,boxing,https://olympics.com/en/olympic-games/st-louis-1904/results/boxing
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/st-louis-1904/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/st-louis-1904/results/diving
Fencing,fencing,https://olympics.com/en/olympic-games/st-louis-1904/results/fencing
Football,football,https://olympics.com/en/olympic-games/st-louis-1904/results/football
Lacrosse,lacrosse,https://olympics.com/en/olympic-games/st-louis-1904/results/lacrosse
Roque,roque,https://olympics.com/en/olympic-games/st-louis-1904/results/roque
Rowing,rowing,https://olympics.com/en/olympic-games/st-louis-1904/results/rowing
Swimming,swimming,https://olympics.com/en/olympic-games/st-louis-1904/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/st-louis-1904/results/tennis
Water Polo,water-polo,https://olympics.com/en/olympic-games/st-louis-1904/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/st-louis-1904/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/st-louis-1904/results/wrestling
