Event Name,Event English Name,URL
Athletics,athletics,https://olympics.com/en/olympic-games/stockholm-1912/results/athletics
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/stockholm-1912/results/cycling-road
Diving,diving,https://olympics.com/en/olympic-games/stockholm-1912/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/stockholm-1912/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/stockholm-1912/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/stockholm-1912/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/stockholm-1912/results/fencing
Football,football,https://olympics.com/en/olympic-games/stockholm-1912/results/football
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/stockholm-1912/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/stockholm-1912/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/stockholm-1912/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/stockholm-1912/results/shooting
Swimming,swimming,https://olympics.com/en/olympic-games/stockholm-1912/results/swimming
Tennis,tennis,https://olympics.com/en/olympic-games/stockholm-1912/results/tennis
Tug of War,tug-of-war,https://olympics.com/en/olympic-games/stockholm-1912/results/tug-of-war
Water Polo,water-polo,https://olympics.com/en/olympic-games/stockholm-1912/results/water-polo
Wrestling,wrestling,https://olympics.com/en/olympic-games/stockholm-1912/results/wrestling
