Event Name,Event English Name,URL
3x3 Basketball,3x3-basketball,https://olympics.com/en/olympic-games/tokyo-2020/results/3x3-basketball
Archery,archery,https://olympics.com/en/olympic-games/tokyo-2020/results/archery
Artistic Gymnastics,artistic-gymnastics,https://olympics.com/en/olympic-games/tokyo-2020/results/artistic-gymnastics
Artistic Swimming,artistic-swimming,https://olympics.com/en/olympic-games/tokyo-2020/results/artistic-swimming
Athletics,athletics,https://olympics.com/en/olympic-games/tokyo-2020/results/athletics
Badminton,badminton,https://olympics.com/en/olympic-games/tokyo-2020/results/badminton
Baseball/Softball,baseball-softball,https://olympics.com/en/olympic-games/tokyo-2020/results/baseball-softball
Basketball,basketball,https://olympics.com/en/olympic-games/tokyo-2020/results/basketball
Beach Volleyball,beach-volleyball,https://olympics.com/en/olympic-games/tokyo-2020/results/beach-volleyball
Boxing,boxing,https://olympics.com/en/olympic-games/tokyo-2020/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/tokyo-2020/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/tokyo-2020/results/canoe-sprint
Cycling BMX Freestyle,cycling-bmx-freestyle,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-freestyle
Cycling BMX Racing,cycling-bmx-racing,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-racing
Cycling Mountain Bike,cycling-mountain-bike,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-mountain-bike
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/tokyo-2020/results/diving
Equestrian,equestrian,https://olympics.com/en/olympic-games/tokyo-2020/results/equestrian
Fencing,fencing,https://olympics.com/en/olympic-games/tokyo-2020/results/fencing
Football,football,https://olympics.com/en/olympic-games/tokyo-2020/results/football
Golf,golf,https://olympics.com/en/olympic-games/tokyo-2020/results/golf
Handball,handball,https://olympics.com/en/olympic-games/tokyo-2020/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/tokyo-2020/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/tokyo-2020/results/judo
Karate,karate,https://olympics.com/en/olympic-games/tokyo-2020/results/karate
Marathon Swimming,marathon-swimming,https://olympics.com/en/olympic-games/tokyo-2020/results/marathon-swimming
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/tokyo-2020/results/modern-pentathlon
Rhythmic Gymnastics,rhythmic-gymnastics,https://olympics.com/en/olympic-games/tokyo-2020/results/rhythmic-gymnastics
Rowing,rowing,https://olympics.com/en/olympic-games/tokyo-2020/results/rowing
Rugby Sevens,rugby-sevens,https://olympics.com/en/olympic-games/tokyo-2020/results/rugby-sevens
Sailing,sailing,https://olympics.com/en/olympic-games/tokyo-2020/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/tokyo-2020/results/shooting
Skateboarding,skateboarding,https://olympics.com/en/olympic-games/tokyo-2020/results/skateboarding
Sport Climbing,sport-climbing,https://olympics.com/en/olympic-games/tokyo-2020/results/sport-climbing
Surfing,surfing,https://olympics.com/en/olympic-games/tokyo-2020/results/surfing
Swimming,swimming,https://olympics.com/en/olympic-games/tokyo-2020/results/swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/tokyo-2020/results/table-tennis
Taekwondo,taekwondo,https://olympics.com/en/olympic-games/tokyo-2020/results/taekwondo
Tennis,tennis,https://olympics.com/en/olympic-games/tokyo-2020/results/tennis
Trampoline Gymnastics,trampoline-gymnastics,https://olympics.com/en/olympic-games/tokyo-2020/results/trampoline-gymnastics
Triathlon,triathlon,https://olympics.com/en/olympic-games/tokyo-2020/results/triathlon
Volleyball,volleyball,https://olympics.com/en/olympic-games/tokyo-2020/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/tokyo-2020/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/tokyo-2020/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/tokyo-2020/results/wrestling
